420.00     0.0  0.0     0.0     0.13    0.16
470.00	1166.67	0.14	0.40	0.20	0.28
525.00	1277.78	0.16	0.21	0.54	0.99
560.00	1222.22	0.20	0.18	0.47	1.06
585.00	1272.22	0.55	0.12	0.28	1.09
600.00	1238.89	0.78	0.11	0.18	1.05
645.00	1244.44	0.80	0.19	0.20	0.91
700.00	1277.78	0.93	0.18	0.23	1.01
735.00	1277.78	0.95	0.11	0.20	1.05
810.00	1355.56	0.98	0.49	0.37	1.06
880.00	1461.11	1.03	0.90	0.78	1.10
940.00	1561.11	1.00	0.92	0.83	1.07

