470.00  0.03	0.41	0.31	0.10
525.00	0.14	0.17	0.38	0.65
560.00	0.14	0.16	0.24	0.89
585.00	0.32	0.14	0.14	0.82
600.00	0.37	0.08	0.07	0.82
645.00	0.31	0.16	0.10	0.70
700.00	0.24	0.13	0.08	0.60
735.00	0.23	0.08	0.06	0.57
810.00	0.19	0.27	0.20	0.49
880.00	0.17	0.29	0.23	0.45
940.00	0.20	0.24	0.23	0.46
